anchorUserID,username,type,orderTime,content,anchor,,,,,,,,,
56,乐*服,直播,2020.04.09,非常感谢谦寻！我们会全力发货，服务好每一位粉丝！,薇娅viya,,,,,,,,,
57,乐*服,直播,2020.04.09,感谢谦寻的每一位宝贝??,薇娅viya,,,,,,,,,
58,黄鑫***86,直播,2020.04.04,很好,薇娅viya,,,,,,,,,
59,粮悦***铺子,直播,2020.04.03,优秀,薇娅viya,,,,,,,,,
60,tb***79,直播,2020.04.02,好好好好好好好,薇娅viya,,,,,,,,,
61,赢*服,直播,2020.04.02,超级棒！,薇娅viya,,,,,,,,,
62,鱼尾***幸福,直播,2020.04.01,感谢薇娅及其团队的小伙伴们,薇娅viya,,,,,,,,,
63,蛋蛋***逗逗,直播,2020.03.31,超好的直播,薇娅viya,,,,,,,,,
64,mi***业店,直播,2020.03.31,薇娅姐超级专业！,薇娅viya,,,,,,,,,
65,今生***仙花,直播,2020.03.26,薇娅女王，所向披靡~~,薇娅viya,,,,,,,,,
66,风吹***98,直播,2020.03.24,非常给力,薇娅viya,,,,,,,,,
67,风吹***98,直播,2020.03.24,给力,薇娅viya,,,,,,,,,
68,风吹***98,直播,2020.03.24,给力,薇娅viya,,,,,,,,,
69,联恩***任务,直播,2020.03.23,,薇娅viya,,,,,,,,,
70,mu***16,直播,2020.03.21,薇娅的女人们购买力真的超级强，公司一致好评！,薇娅viya,,,,,,,,,
71,小草***54,直播,2020.03.20,薇娅节产出极高,薇娅viya,,,,,,,,,
72,我们***乐o,直播,2020.03.19,好,薇娅viya,,,,,,,,,
73,mi***ng,直播,2020.03.19,很好,薇娅viya,,,,,,,,,
74,樽*殇,直播,2020.03.17,好,薇娅viya,,,,,,,,,
75,我淘***28,直播,2020.03.16,非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好,薇娅viya,,,,,,,,,
76,膜*世,直播,2020.03.16,超级满意~棒棒哒,薇娅viya,,,,,,,,,
77,膜*世,直播,2020.03.16,超级满意~薇娅姐真的超级厉害，希望之后可以多多合作。嘻嘻~~~~~,薇娅viya,,,,,,,,,
78,鱼尾***幸福,直播,2020.03.13,感谢薇娅，感谢薇娅团队,薇娅viya,,,,,,,,,
79,鱼尾***幸福,直播,2020.03.13,支持薇娅，感谢薇娅团队,薇娅viya,,,,,,,,,
80,鱼尾***幸福,直播,2020.03.13,支持薇娅，从未失望过,薇娅viya,,,,,,,,,
81,av***19,直播,2020.03.13,good,薇娅viya,,,,,,,,,
82,yu***rw,直播,2020.03.13,非常好,薇娅viya,,,,,,,,,
83,su***16,直播,2020.03.11,感谢薇娅姐，辛苦了,薇娅viya,,,,,,,,,
84,辣妈***21,直播,2020.03.11,效果很好，给力,薇娅viya,,,,,,,,,
85,七月***百合,直播,2020.03.10,带货能力超棒！,薇娅viya,,,,,,,,,
86,ji***an,直播,2020.03.10,非常好,薇娅viya,,,,,,,,,
87,ji***an,直播,2020.03.10,非常好,薇娅viya,,,,,,,,,
88,ji***an,直播,2020.03.10,非常好,薇娅viya,,,,,,,,,
89,ji***an,直播,2020.03.10,非常好,薇娅viya,,,,,,,,,
90,ji***an,直播,2020.03.10,非常好,薇娅viya,,,,,,,,,
91,米兰***水手,直播,2020.03.09,很好很好很好,薇娅viya,,,,,,,,,
92,亲爱***小姐,直播,2020.03.09,带货能力超强！！！！,薇娅viya,,,,,,,,,
